MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
BMW,M3,COMPACT,3,6,M6,Z,13.5,9.3,11.6,24,4,3,273
BMW,M4 CABRIOLET,SUBCOMPACT,3,6,AM7,Z,14.5,10.5,12.7,22,3,3,299
BMW,M4 CABRIOLET,SUBCOMPACT,3,6,M6,Z,13.8,9.4,11.9,24,4,3,280
BMW,M4 COUPE,COMPACT,3,6,AM7,Z,13.5,9.9,11.9,24,4,3,280
BMW,M4 COUPE,COMPACT,3,6,M6,Z,13.5,9.3,11.6,24,4,3,273
BMW,M550i xDRIVE,MID-SIZE,4.4,8,AS8,Z,14.3,9.4,12.1,23,4,3,283
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.6,14.7,19,2,3,344
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,3,3,324
BMW,M6 COUPE,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.6,14.7,19,2,3,344
BMW,M6 COUPE,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,3,3,324
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.6,14.7,19,2,3,344
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,3,3,324
BMW,M760i xDRIVE,FULL-SIZE,6.6,12,AS8,Z,17.7,11.9,15.1,19,2,3,355
BMW,X1 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,10.7,7.5,9.3,30,5,7,217
BMW,X2 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11,7.7,9.5,30,5,7,222
BMW,X3 xDRIVE30i,SUV - SMALL,2,4,AS8,Z,10.8,8,9.5,30,5,7,223
BMW,X3 M40i,SUV - SMALL,3,6,AS8,Z,11.7,8.6,10.3,27,5,5,241
BMW,X4 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11.8,8.6,10.3,27,5,3,240
BMW,X4 M40i,SUV - SMALL,3,6,AS8,Z,12.9,9.5,11.4,25,4,3,266
BMW,X5 xDRIVE35d,SUV - STANDARD,3,6,AS8,D,10.3,8,9.3,30,4,3,246
BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,9.8,11.5,25,4,3,270
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.4,11.2,13.5,21,3,3,317
BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,2,3,341
BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,9.8,11.5,25,4,3,270
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.4,11.2,13.5,21,3,3,317
BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,2,3,341
BUGATTI,CHIRON,TWO-SEATER,8,16,AM7,Z,26.8,16.6,22.2,13,1,1,522
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,AS9,X,12.9,9,11.2,25,4,5,263
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,AS9,X,13.8,9.4,11.8,24,4,5,277
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.3,7.2,8.3,34,6,3,194
BUICK,ENCORE (SIDI with Stop/Start),SUV - SMALL,1.4,4,AS6,X,8.6,7.1,7.9,36,7,3,185
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,9.9,7.8,8.9,32,5,3,210
BUICK,ENCORE AWD (SIDI with Stop/Start),SUV - SMALL,1.4,4,AS6,X,9,7.6,8.3,34,6,3,196
BUICK,ENVISION AWD,SUV - SMALL,2,4,A6,Z,11.8,9.1,10.6,27,4,3,248
BUICK,ENVISION AWD,SUV - SMALL,2.5,4,A6,X,11.1,8.6,10,28,5,5,234
BUICK,LACROSSE,MID-SIZE,3.6,6,AS9,X,11.3,7.9,9.7,29,5,5,228
BUICK,LACROSSE eASSIST,MID-SIZE,2.5,4,A6,X,9.3,6.7,8.1,35,6,5,190
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS9,X,11.8,8,10.1,28,5,5,237
BUICK,REGAL,FULL-SIZE,2,4,AS9,Z,10.7,7.4,9.2,31,5,5,217
BUICK,REGAL AWD,FULL-SIZE,2,4,AS8,Z,11,8,9.6,29,5,5,227
BUICK,REGAL AWD,FULL-SIZE,3.6,6,AS9,X,12.4,8.7,10.7,26,4,5,250
CADILLAC,ATS,COMPACT,2,4,AS8,Z,10.5,7.7,9.2,31,5,5,216
CADILLAC,ATS,COMPACT,2,4,M6,Z,12,8.2,10.3,27,5,5,240
CADILLAC,ATS,COMPACT,3.6,6,AS8,X,11.6,8,10,28,5,5,234
CADILLAC,ATS AWD,COMPACT,2,4,AS8,Z,10.8,7.9,9.5,30,5,5,222
CADILLAC,ATS AWD,COMPACT,3.6,6,AS8,X,12.1,8.6,10.5,27,4,5,247
CADILLAC,ATS-V,COMPACT,3.6,6,AS8,Z,13.9,9.4,11.9,24,3,3,291
CADILLAC,ATS-V,COMPACT,3.6,6,M6,Z,14.4,10.4,12.6,22,3,3,295
CADILLAC,CT6,FULL-SIZE,2,4,AS8,Z,11,7.8,9.5,30,5,5,224
CADILLAC,CT6 AWD,FULL-SIZE,3,6,AS8,Z,13,9.1,11.2,25,4,3,263
CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS8,X,13,8.9,11.1,25,4,5,261
CADILLAC,CTS,MID-SIZE,2,4,AS8,Z,11,7.8,9.5,30,5,5,224
CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,11.6,8,10,28,5,5,234
CADILLAC,CTS AWD,MID-SIZE,2,4,AS8,Z,11.2,8.2,9.8,29,5,5,229
CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS8,X,12.1,8.6,10.5,27,4,5,247
CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15,9.9,12.7,22,3,3,311
CADILLAC,CTS-V,MID-SIZE,6.2,8,AS8,Z,16.5,11.1,14,20,3,1,329
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A10,Z,16.6,10.9,14,20,3,3,329
CADILLAC,XT5,SUV - SMALL,3.6,6,AS8,X,12.1,8.9,10.6,27,4,5,250
CADILLAC,XT5 AWD,SUV - SMALL,3.6,6,AS8,X,12.8,9.3,11.2,25,4,5,263
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.2,8.5,11.1,25,4,5,260
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.7,9,11.6,24,4,5,272
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,15,10.2,12.8,22,3,3,302
CHEVROLET,CAMARO,SUBCOMPACT,2,4,AS8,Z,10.8,7.6,9.4,30,5,5,220
CHEVROLET,CAMARO,SUBCOMPACT,2,4,M6,Z,11.9,7.9,10.1,28,5,5,235
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,AS8,X,12.3,8.2,10.4,27,5,5,246
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,M6,X,14.4,8.4,11.7,24,4,5,274
CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8,AS8,Z,14.2,8.7,11.7,24,4,1,273
CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8,M6,Z,14.3,9.4,12.1,23,3,1,284
